KO	Gene_identification	A	B	C	D
K04492	LEF1; lymphoid enhancer-binding factor 1	Functional set	Environmental information processing	Cell signaling	Wnt signaling
K13583	gcrA; GcrA cell cycle regulator	NA	NA	NA	NA
K01371	CTSK; cathepsin K [EC:3.4.22.38]	NA	NA	NA	NA
K15291	RIMS1, RIM1; regulating synaptic membrane exocytosis protein 1	NA	NA	NA	NA
K19360	NPHP3; nephrocystin-3	NA	NA	NA	NA
K07093	K07093; uncharacterized protein	NA	NA	NA	NA
K05110	EPHB1, ELK, NET; Eph receptor B1 [EC:2.7.10.1]	NA	NA	NA	NA
K07836	RAP1B; Ras-related protein Rap-1B	NA	NA	NA	NA
K18747	SXL; protein sex-lethal	NA	NA	NA	NA
K13346	PEX10; peroxin-10	NA	NA	NA	NA
K09225	ZIC4; zinc finger protein ZIC 4	NA	NA	NA	NA
K19613	SHOC2, SUR8; leucine-rich repeat protein SHOC2	NA	NA	NA	NA
K05103	EPHA2, ECK; Eph receptor A2 [EC:2.7.10.1]	NA	NA	NA	NA
K16763	CEP63; centrosomal protein CEP63	NA	NA	NA	NA
K17578	ZCCHC9; zinc finger CCHC domain-containing protein 9	NA	NA	NA	NA
K10381	DSP; desmoplakin	NA	NA	NA	NA
K07624	GJB5, CX31.1; gap junction protein, beta 5	NA	NA	NA	NA
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	Structural complex	Energy metabolism	ATP synthesis	NADH:quinone oxidoreductase, prokaryotes
K09559	BAG5; BCL2-associated athanogene 5	NA	NA	NA	NA
K04877	KCNA4; potassium voltage-gated channel Shaker-related subfamily A member 4	NA	NA	NA	NA
K15334	NCL1, TRM4; multisite-specific tRNA:(cytosine-C5)-methyltransferase [EC:2.1.1.202]	NA	NA	NA	NA
K05688	PINK1; PTEN induced putative kinase 1 [EC:2.7.11.1]	NA	NA	NA	NA
K09261	MEF2B; MADS-box transcription enhancer factor 2B	NA	NA	NA	NA
K15227	TYRAAT; arogenate dehydrogenase (NADP+), plant [EC:1.3.1.78]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine
K04194	CCKAR; cholecystokinin A receptor	NA	NA	NA	NA
K04123	KAO; ent-kaurenoic acid hydroxylase [EC:1.14.13.79]	NA	NA	NA	NA
K16674	FJX1; four-jointed box protein 1	NA	NA	NA	NA
K17591	RIMBP2; RIMS-binding protein 2	NA	NA	NA	NA
K05170	IL1RAPL, IL1R8_9; interleukin 1 receptor accessory protein-like	NA	NA	NA	NA
K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	Pathway module	Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	Pathway module	Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
K00734	B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]	Pathway module	Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	Glycosaminoglycan biosynthesis, linkage tetrasaccharide
K04514	ROCK1; Rho-associated protein kinase 1 [EC:2.7.11.1]	NA	NA	NA	NA
K00893	DCK; deoxycitidine kinase [EC:2.7.1.74]	NA	NA	NA	NA
K06940	K06940; uncharacterized protein	NA	NA	NA	NA
K15688	MUL1; E3 ubiquitin-protein ligase MUL1 [EC:2.3.2.27]	NA	NA	NA	NA
K18953	NSMAF, FAN; factor associated with neutral sphingomyelinase activation	NA	NA	NA	NA
K14497	PP2C; protein phosphatase 2C [EC:3.1.3.16]	NA	NA	NA	NA
K13960	UBE2T, HSPC150; ubiquitin-conjugating enzyme E2 T [EC:2.3.2.23]	NA	NA	NA	NA
K05340	glcU; glucose uptake protein	NA	NA	NA	NA
K09624	PRSS12; neurotrypsin [EC:3.4.21.-]	NA	NA	NA	NA
K09521	DNAJC1; DnaJ homolog subfamily C member 1	NA	NA	NA	NA
K08530	NR1C3, PPARG; peroxisome proliferator-activated receptor gamma	NA	NA	NA	NA
K14958	KSR1; kinase suppressor of Ras 1	NA	NA	NA	NA
K12307	MSFD8, CLN7; MFS transporter, ceroid-lipofuscinosis neuronal protein 7	NA	NA	NA	NA
K15210	SNAPC3; snRNA-activating protein complex subunit 3	NA	NA	NA	NA
K19018	TNFAIP6, TSG6; tumor necrosis factor-inducible gene 6 protein	NA	NA	NA	NA
K10494	ZBTB7; zinc finger and BTB domain-containing protein 7	NA	NA	NA	NA
K11318	ATXN7, SCA7; ataxin-7	NA	NA	NA	NA
K05210	GRIN2B; glutamate receptor ionotropic, NMDA 2B	NA	NA	NA	NA
K15409	SRPK1; serine/threonine-protein kinase SRPK1 [EC:2.7.11.1]	NA	NA	NA	NA
K07140	K07140; uncharacterized protein	NA	NA	NA	NA
K11980	RNF11; E3 ubiquitin-protein ligase RNF11	NA	NA	NA	NA
K17947	wbiB; dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]	NA	NA	NA	NA
K04983	TRPM8; transient receptor potential cation channel subfamily M member 8	NA	NA	NA	NA
K08229	SLC43A2; MFS transporter, LAT3 family, solute carrier family 43, member 2	NA	NA	NA	NA
K06092	INADL, PATJ; InaD-like protein	NA	NA	NA	NA
K06711	PH-4; hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-]	NA	NA	NA	NA
K16198	YWHAG_H; 14-3-3 protein gamma/eta	NA	NA	NA	NA
K14831	MAK16; protein MAK16	NA	NA	NA	NA
K14991	SLC38A4, SNAT4; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 4	NA	NA	NA	NA
K10147	PPM1D, WIP1; protein phosphatase 1D [EC:3.1.3.16]	NA	NA	NA	NA
K06053	RBPSUH, RBPJK; recombining binding protein suppressor of hairless	Functional set	Environmental information processing	Cell signaling	Notch signaling
K08967	mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine salvage pathway
K02116	atpI; ATP synthase protein I	NA	NA	NA	NA
K01487	E3.5.4.3, guaD; guanine deaminase [EC:3.5.4.3]	NA	NA	NA	NA
K08676	tri; tricorn protease [EC:3.4.21.-]	NA	NA	NA	NA
K14295	NUP50, NPAP60; nuclear pore complex protein Nup50	Structural complex	Genetic information processing	RNA processing	Nuclear pore complex
K10429	MAP1; microtubule-associated protein 1	NA	NA	NA	NA
K08267	RICTOR; rapamycin-insensitive companion of mTOR	NA	NA	NA	NA
K10612	CUL5; cullin 5	Structural complex	Genetic information processing	Ubiquitin system	ECS complex
K04531	APBA1, X11; amyloid beta A4 precursor protein-binding family A member 1	NA	NA	NA	NA
K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	Pathway module	Nucleotide and amino acid metabolism	Polyamine biosynthesis	GABA biosynthesis, eukaryotes, putrescine => GABA
K03878	ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:1.6.5.3]	Structural complex	Energy metabolism	ATP synthesis	NADH:ubiquinone oxidoreductase, mitochondria
K10236	thuE; trehalose/maltose transport system substrate-binding protein	Structural complex	Environmental information processing	Saccharide, polyol, and lipid transport system	Trehalose/maltose transport system
K04910	KCNH7; potassium voltage-gated channel Eag-related subfamily H member 7	NA	NA	NA	NA
K10446	KLHL8; kelch-like protein 8	NA	NA	NA	NA
K09534	DNAJC14; DnaJ homolog subfamily C member 14	NA	NA	NA	NA
K15719	NCOAT, MGEA5; protein O-GlcNAcase / histone acetyltransferase [EC:3.2.1.169 2.3.1.48]	NA	NA	NA	NA
K09574	FKBP8; FK506-binding protein 8 [EC:5.2.1.8]	NA	NA	NA	NA
K15033	ICT1; peptidyl-tRNA hydrolase ICT1 [EC:3.1.1.29]	NA	NA	NA	NA
K09371	LMX1; LIM homeobox transcription factor 1	NA	NA	NA	NA
K12885	RBMX, HNRNPG; heterogeneous nuclear ribonucleoprotein G	NA	NA	NA	NA
K13112	THRAP3; thyroid hormone receptor-associated protein 3	NA	NA	NA	NA
K08646	MEP; peptidyl-Lys metalloendopeptidase [EC:3.4.24.20]	NA	NA	NA	NA
K15151	MED10, NUT2; mediator of RNA polymerase II transcription subunit 10	NA	NA	NA	NA
K16340	PHLPP; PH domain and leucine-rich repeat-containing protein phosphatase [EC:3.1.3.16]	NA	NA	NA	NA
K10867	NBN, NBS1; nijmegen breakage syndrome protein 1	Structural complex	Genetic information processing	Repair system	MRN complex
K10867	NBN, NBS1; nijmegen breakage syndrome protein 1	Structural complex	Genetic information processing	Repair system	BRCA1-associated genome surveillance complex (BASC)
K10527	MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	Jasmonic acid biosynthesis
K10527	MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	beta-Oxidation
K16288	RIPK5, DSTYK; receptor-interacting serine/threonine-protein kinase 5 [EC:2.7.11.1]	NA	NA	NA	NA
K10479	BTBD7; BTB/POZ domain-containing protein 7	NA	NA	NA	NA
K06807	CDH20; cadherin 20, type 2	NA	NA	NA	NA
K09355	PBX1; pre-B-cell leukemia transcription factor 1	NA	NA	NA	NA
K04841	SCN9A; voltage-gated sodium channel type IX alpha	NA	NA	NA	NA
K08397	RXFP3, RLN3R1; relaxin family peptide receptor 3	NA	NA	NA	NA
K15050	EXOG; nuclease EXOG, mitochondrial	NA	NA	NA	NA
K15923	AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]	NA	NA	NA	NA
K05527	bolA; BolA protein	NA	NA	NA	NA
K17929	SNX17; sorting nexin-17	NA	NA	NA	NA
K14795	RRP36; ribosomal RNA-processing protein 36	NA	NA	NA	NA
K01029	E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	NA	NA	NA	NA
K03727	helY; ATP-dependent RNA helicase HelY [EC:3.6.4.-]	NA	NA	NA	NA
K07749	frc; formyl-CoA transferase [EC:2.8.3.16]	NA	NA	NA	NA
K00293	LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
K00293	LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
K17404	MRPS25; small subunit ribosomal protein S25	NA	NA	NA	NA
K06482	ITGA3, CD49c; integrin alpha 3	NA	NA	NA	NA
K07427	CYP4V; cytochrome P450 family 4 subfamily V	NA	NA	NA	NA
K00601	E2.1.2.2; phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
K07868	RHOBTB1_2; Rho-related BTB domain-containing protein 1/2	NA	NA	NA	NA
K17401	MRPS22; small subunit ribosomal protein S22	NA	NA	NA	NA
K18629	TEKT2; tektin-2	NA	NA	NA	NA
K04464	MAPK7; mitogen-activated protein kinase 7 [EC:2.7.11.24]	Functional set	Environmental information processing	Cell signaling	MAPK (ERK5) signaling
K10182	TBX15, TBX14; T-box protein 15	NA	NA	NA	NA
K06876	K06876; deoxyribodipyrimidine photolyase-related protein	NA	NA	NA	NA
K17554	PPP1R13B, ASPP1; apoptosis-stimulating of p53 protein 1	NA	NA	NA	NA
K18463	CCDC53; WASH complex subunit CCDC53	NA	NA	NA	NA
K01174	nuc; micrococcal nuclease [EC:3.1.31.1]	NA	NA	NA	NA
K11855	USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]	NA	NA	NA	NA
K13881	BEST4, VMD2L2; bestrophin-4	NA	NA	NA	NA
K09168	NFIA; nuclear factor I/A	NA	NA	NA	NA
K11248	SH3GLB; endophilin-B	NA	NA	NA	NA
K04657	CHRD; chordin	NA	NA	NA	NA
K12870	ISY1; pre-mRNA-splicing factor ISY1	Structural complex	Genetic information processing	Spliceosome	Spliceosome, 35S U5-snRNP
K03515	REV1; DNA repair protein REV1 [EC:2.7.7.-]	NA	NA	NA	NA
K00905	BCKDK; [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]	NA	NA	NA	NA
K13645	PLOD2; procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [EC:1.14.11.4]	NA	NA	NA	NA
K01398	MMP2; matrix metalloproteinase-2 (gelatinase A) [EC:3.4.24.24]	NA	NA	NA	NA
K18462	FAM21; WASH complex subunit FAM21	NA	NA	NA	NA
K14943	MBNL; muscleblind	NA	NA	NA	NA
K15596	CDK18, PCTK3; cyclin-dependent kinase 18 [EC:2.7.11.22]	NA	NA	NA	NA
K07912	RAB24; Ras-related protein Rab-24	NA	NA	NA	NA
K04975	TRPV6; transient receptor potential cation channel subfamily V member 6	NA	NA	NA	NA
K16547	NEDD1; protein NEDD1	NA	NA	NA	NA
K08546	NR2E3, PNR; nuclear receptor subfamily 2 group E member 3	NA	NA	NA	NA
K10859	ALKBH2; alpha-ketoglutarate-dependent dioxygenase alkB homolog 2 [EC:1.14.11.-]	NA	NA	NA	NA
K14289	XPO5; exportin-5	NA	NA	NA	NA
K10345	SPSB3, SSB3; SPRY domain-containing SOCS box protein 3	NA	NA	NA	NA
K08629	ADAMTS15; a disintegrin and metalloproteinase with thrombospondin motifs 15 [EC:3.4.24.-]	NA	NA	NA	NA
K01644	citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	NA	NA	NA	NA
K10177	TBX3; T-box protein 3	NA	NA	NA	NA
K10457	KLHL20, KLEIP; kelch-like protein 20	NA	NA	NA	NA
K01395	MEP1A; meprin A [EC:3.4.24.18]	NA	NA	NA	NA
K13221	WDR77, MEP50; methylosome protein 50	NA	NA	NA	NA
K01728	pel; pectate lyase [EC:4.2.2.2]	NA	NA	NA	NA
K16882	PCLO; protein piccolo	NA	NA	NA	NA
K19866	EFEMP2; EGF-containing fibulin-like extracellular matrix protein 2	NA	NA	NA	NA
K17973	NAA25, MDM20; N-terminal acetyltransferase B complex non-catalytic subunit	NA	NA	NA	NA
K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Tryptophan biosynthesis, chorismate => tryptophan
K11404	HDAC3; histone deacetylase 3 [EC:3.5.1.98]	NA	NA	NA	NA
K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein	Structural complex	Environmental information processing	Mineral and organic ion transport system	NitT/TauT family transport system [BR:ko02000]
K19385	TMEM216; transmembrane protein 216	NA	NA	NA	NA
K05095	FGFR4, CD334; fibroblast growth factor receptor 4 [EC:2.7.10.1]	NA	NA	NA	NA
K08912	LHCB1; light-harvesting complex II chlorophyll a/b binding protein 1	NA	NA	NA	NA
K05108	EPHA7, EHK3, HEK11; EphA7 [EC:2.7.10.1]	NA	NA	NA	NA
K01946	ACACB; acetyl-CoA carboxylase / biotin carboxylase 2 [EC:6.4.1.2 6.3.4.14]	NA	NA	NA	NA
K18166	FOXRED1; FAD-dependent oxidoreductase domain-containing protein 1	NA	NA	NA	NA
K18627	KIF25; kinesin family member 25	NA	NA	NA	NA
K11418	HDAC11; histone deacetylase 11 [EC:3.5.1.98]	NA	NA	NA	NA
K17433	MRPL52; large subunit ribosomal protein L52	NA	NA	NA	NA
K12464	MAGED1, NRAGE; melanoma-associated antigen D1	NA	NA	NA	NA
K01763	SCLY; selenocysteine lyase [EC:4.4.1.16]	NA	NA	NA	NA
K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]	NA	NA	NA	NA
K03330	gatE; glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]	NA	NA	NA	NA
K11158	RPE65; retinoid isomerohydrolase [EC:3.1.1.64]	NA	NA	NA	NA
K05940	CROT; carnitine O-octanoyltransferase [EC:2.3.1.137]	NA	NA	NA	NA
K18039	PTPN20; tyrosine-protein phosphatase non-receptor type 20 [EC:3.1.3.48]	NA	NA	NA	NA
K01753	dsdA; D-serine dehydratase [EC:4.3.1.18]	NA	NA	NA	NA
K01116	PLCG1; phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
K04881	KCNA10; potassium voltage-gated channel Shaker-related subfamily A member 10	NA	NA	NA	NA
K08881	TRIM24, TIF1A; tripartite motif-containing protein 24 [EC:2.3.2.27]	NA	NA	NA	NA
K05034	SLC6A1; solute carrier family 6 (neurotransmitter transporter, GABA) member 1	NA	NA	NA	NA
K10667	RNF8; E3 ubiquitin-protein ligase RNF8 [EC:2.3.2.27]	NA	NA	NA	NA
K14354	SLCO4A; solute carrier organic anion transporter family, member 4A	NA	NA	NA	NA
K00416	QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6	Structural complex	Energy metabolism	ATP synthesis	Cytochrome bc1 complex
K02178	BUB1; checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	NA	NA	NA	NA
K10127	MDM4, MDMX; protein Mdm4	NA	NA	NA	NA
K08844	LRRK2; leucine-rich repeat kinase 2 [EC:2.7.11.1]	NA	NA	NA	NA
K06098	TJP2, ZO2; tight junction protein 2	NA	NA	NA	NA
K09299	ZEB1_2; zinc finger homeobox protein 1/2	NA	NA	NA	NA
K13482	xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Purine degradation, xanthine => urea
K12497	EGR3; early growth response protein 3	NA	NA	NA	NA
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]	NA	NA	NA	NA
K17589	RB1CC1; RB1-inducible coiled-coil protein 1	NA	NA	NA	NA
K04995	KCNJ1; potassium inwardly-rectifying channel subfamily J member 1	NA	NA	NA	NA
K04981	TRPM6, CHAK2; transient receptor potential cation channel subfamily M member 6 [EC:2.7.11.1]	NA	NA	NA	NA
K08043	ADCY3; adenylate cyclase 3 [EC:4.6.1.1]	Functional set	Environmental information processing	Cell signaling	cAMP signaling
K12661	LRA3, yfaW; L-rhamnonate dehydratase [EC:4.2.1.90]	NA	NA	NA	NA
K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
K05520	pfpI; protease I [EC:3.2.-.-]	NA	NA	NA	NA
K19404	LIPH_I; phosphatidic acid-selective&#160;phospholipase A1 [EC:3.1.1.-]	NA	NA	NA	NA
K02690	psaB; photosystem I P700 chlorophyll a apoprotein A2	Structural complex	Energy metabolism	Photosynthesis	Photosystem I
K09187	MLL2, ALR; histone-lysine N-methyltransferase MLL2 [EC:2.1.1.43]	NA	NA	NA	NA
K03975	dedA; membrane-associated protein	NA	NA	NA	NA
K18533	AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
K18533	AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
K18533	AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
K17605	PPP2R4, PTPA; serine/threonine-protein phosphatase 2A activator	NA	NA	NA	NA
K14009	BCAP31, BAP31; B-cell receptor-associated protein 31	NA	NA	NA	NA
K03352	APC5; anaphase-promoting complex subunit 5	Structural complex	Genetic information processing	Ubiquitin system	APC/C complex
K04899	KCNF1; potassium voltage-gated channel subfamily F member 1	NA	NA	NA	NA
K16292	CEP, CYSEP; KDEL-tailed cysteine endopeptidase [EC:3.4.22.-]	NA	NA	NA	NA
K13415	BRI1; protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1]	NA	NA	NA	NA
K10837	PSTK; O-phosphoseryl-tRNA(Sec) kinase [EC:2.7.1.164]	NA	NA	NA	NA
K05304	NANS, SAS; sialic acid synthase [EC:2.5.1.56 2.5.1.57]	NA	NA	NA	NA
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	Structural complex	Energy metabolism	ATP synthesis	NADH:quinone oxidoreductase, prokaryotes
K19195	ARID4B; AT-rich interactive domain-containing protein 4B	NA	NA	NA	NA
K09183	GATA4; GATA-binding protein 4	NA	NA	NA	NA
K19484	PLAG1; zinc finger protein PLAG1	NA	NA	NA	NA
K07046	K07046; L-fuconolactonase [EC:3.1.1.-]	NA	NA	NA	NA
K11306	MYST4, KAT6B; histone acetyltransferase MYST4 [EC:2.3.1.48]	NA	NA	NA	NA
K01118	acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.-.-]	NA	NA	NA	NA
K08812	CAMKV; CaM kinase-like vesicle-associated [EC:2.7.11.-]	NA	NA	NA	NA
K01273	DPEP; membrane dipeptidase [EC:3.4.13.19]	NA	NA	NA	NA
K12119	CRY2; cryptochrome 2	NA	NA	NA	NA
K15127	TADA2B; transcriptional adapter 2-beta	NA	NA	NA	NA
K08519	STXBP6; syntaxin-binding protein 6	NA	NA	NA	NA
K00518	sodN; nickel superoxide dismutase [EC:1.15.1.1]	NA	NA	NA	NA
K19328	SYT14_16; synaptotagmin-14/16	NA	NA	NA	NA
K18681	DIS3L; DIS3-like exonuclease 1 [EC:3.1.13.-]	NA	NA	NA	NA
K12366	ELMO1, CED12; engulfment and cell motility protein 1	NA	NA	NA	NA
K13809	CMPK2; UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
K09368	POU6F; POU domain transcription factor, class 6	NA	NA	NA	NA
K13141	INTS4; integrator complex subunit 4	NA	NA	NA	NA
K17805	PAM16, TIM16; mitochondrial import inner membrane translocase subunit TIM16	NA	NA	NA	NA
K14540	rbgA; ribosome biogenesis GTPase A	NA	NA	NA	NA
K10391	TUBE; tubulin epsilon	NA	NA	NA	NA
K01837	BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]	NA	NA	NA	NA
K17879	NUDT7; peroxisomal coenzyme A diphosphatase NUDT7 [EC:3.6.1.-]	NA	NA	NA	NA
K05195	GLRA3; glycine receptor alpha-3	NA	NA	NA	NA
K11127	TEP1; telomerase protein component 1	NA	NA	NA	NA
K17199	RASEF, RAB45; Ras and EF-hand domain-containing protein	NA	NA	NA	NA
K13576	SLC38A3, SNAT3; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 3	NA	NA	NA	NA
K08899	LMTK3; lemur tyrosine kinase 3 [EC:2.7.10.1]	NA	NA	NA	NA
K01705	LYS4; homoaconitate hydratase [EC:4.2.1.36]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
K01705	LYS4; homoaconitate hydratase [EC:4.2.1.36]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate
K04563	CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22]	Functional set	Environmental information processing	Cell signaling	Cell cycle - G1/S transition
K04563	CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22]	Functional set	Environmental information processing	Cell signaling	Cell cycle - G2/M transition
K07889	RAB5C; Ras-related protein Rab-5C	NA	NA	NA	NA
K08527	RARA, NR1B1; retinoic acid receptor alpha	NA	NA	NA	NA
K11147	DHRS4; dehydrogenase/reductase SDR family member 4 [EC:1.1.-.-]	NA	NA	NA	NA
K04604	GRM5; metabotropic glutamate receptor 5	NA	NA	NA	NA
